repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors
mattcunningham/naive-apl,23,0,0,0,0,0.000,125,2738,2993,1,APL,false,0,APL,General-Purpose Machine Learning,0.000,0
pjreddie/darknet,24816,131,67,34,5,5.279,0,493,3513,8,C,false,0,C,General-Purpose Machine Learning,60.000,0
GHamrouni/Recommender,260,0,0,0,0,0.000,54,492,4341,3,C,false,0,C,General-Purpose Machine Learning,0.000,0
SeniorSA/hybrid-rs-trainner,12,0,0,0,0,0.000,341,2565,2568,4,Python,false,7,C,General-Purpose Machine Learning,0.000,0
siavashserver/neonrvm,36,1,1,1,0,27.778,3,1187,2105,1,C,true,0,C,General-Purpose Machine Learning,0.000,0
alrevuelta/cONNXr,164,6,3,1,0,36.585,4,987,1510,8,C,false,0,C,General-Purpose Machine Learning,12.000,0
xboot/libonnx,525,9,4,2,1,17.143,0,559,1135,3,C,false,0,C,General-Purpose Machine Learning,22.000,0
liuliu/ccv,7010,9,5,4,0,1.284,1,13,4817,14,C,false,0,C,Computer Vision,32.000,1
ukoethe/vigra,393,0,0,0,0,0.000,44,10,4523,62,C++,false,0,C++,Computer Vision,20.000,5
CMU-Perceptual-Computing-Lab/openpose,28646,268,122,60,7,9.356,0,131,2404,106,C++,false,0,C++,Computer Vision,62.000,0
jkomiyama/banditlib,135,1,0,0,0,7.407,28,14,3544,3,C++,false,0,C++,General-Purpose Machine Learning,12.000,1
BVLC/caffe,33657,67,30,12,3,1.991,0,1379,3724,275,C++,false,0,C++,General-Purpose Machine Learning,40.000,0
catboost/catboost,7468,65,27,14,1,8.704,0,0,2319,343,Python,false,0,C++,General-Purpose Machine Learning,90.000,15
Microsoft/CNTK,17415,15,8,3,1,0.861,0,426,2919,231,C++,false,0,C++,General-Purpose Machine Learning,31.000,0
jolibrain/deepdetect,2489,6,3,2,0,2.411,1,23,3107,24,C++,false,0,C++,General-Purpose Machine Learning,22.000,1
amznlabs/amazon-dsstne,4418,1,1,0,0,0.226,9,1372,2800,44,C++,true,0,C++,General-Purpose Machine Learning,0.000,0
clab/dynet,3401,8,2,2,1,2.352,0,15,3209,138,C++,false,0,C++,General-Purpose Machine Learning,32.000,1
FidoProject/Fido,424,1,0,0,0,2.358,21,2195,3030,6,C++,false,0,C++,General-Purpose Machine Learning,2.000,0
